Label;cargo;partido;sector;categoria
maxcolodro;;;;centro_estudios
mechitasdeclavo;;;;centro_estudios
memobarros;Diputado;Union Democrata Independiente;Coalicion;Politico
mfernandaotero;;;;sociedad civil
mibenitezp;Ministro;Union Democrata Independiente;Coalicion;Politico
mmlagoscc;;;;centro_estudios
monicazalaquett;Diputado;Union Democrata Independiente;Coalicion;Politico
mwaissbluth;;;;educacion
nmonckeberg;Diputado;Renovacion Nacional;Coalicion;Politico
orlandodearica;Diputado;Independiente;Independiente;Politico
pablosimonetti;;;;sociedad civil
panchodays;;;;centro_estudios
patriciomelero;Diputado;Union Democrata Independiente;Coalicion;Politico
patricionavia;;;;centro_estudios
patriciowalker;Senador;Partido Democrata Cristiano;Concertacion;Politico
paulfontaineb;;;;sociedad civil
pepe_auth;Diputado;Partido Por la Democracia;Concertacion;Politico
pizarrosenador;Senador;Partido Democrata Cristiano;Concertacion;Politico
pvallespin;Diputado;Partido Democrata Cristiano;Concertacion;Politico
renesaffirio;Diputado;Partido Democrata Cristiano;Concertacion;Politico
rhinzpeter;Ministro;Renovacion Nacional;Coalicion;Politico
robertomendez;;;;centro_estudios
sebastianpinera;Presidente;Renovacion Nacional;Coalicion;Politico
senadorRE;Senador;Partido Democrata Cristiano;Concertacion;Politico
senadornavarro;Senador;Movimiento Amplio Social;Independiente;Politico
senadorquintana;Senador;Partido Por la Democracia;Concertacion;Politico
senadortuma;Senador;Partido Por la Democracia;Concertacion;Politico
soledadalvear;Senador;Partido Democrata Cristiano;Concertacion;Politico
teoribera;Ministro;;;Politico
vanrysselberghe;Diputado;Union Democrata Independiente;Coalicion;Politico
ximenavidal;Diputado;Partido Por la Democracia;Concertacion;Politico
ximerincon;Senador;Partido Democrata Cristiano;Concertacion;Politico
